Sample Number,Time (s),D0,D1,D2,D3,D4,D5,,
138,-0.862999998,0,0,0,0,0,0,,
139,-0.861999998,0,0,0,0,0,0,,
140,-0.860999998,0,0,0,0,0,0,,
141,-0.859999998,0,0,0,0,0,0,,
142,-0.858999998,0,0,0,0,0,0,,
143,-0.857999998,0,0,0,0,0,0,,
144,-0.856999998,0,0,0,0,0,0,,
145,-0.855999998,0,0,0,0,0,0,,
146,-0.854999998,0,0,0,0,0,0,,
147,-0.853999998,0,0,0,0,0,0,,
148,-0.852999998,0,0,0,0,0,0,,
149,-0.851999998,0,0,0,0,0,0,,
150,-0.850999998,0,0,0,0,0,0,,
151,-0.849999998,0,0,0,0,0,0,,
152,-0.848999998,0,0,0,0,0,0,,
153,-0.847999998,0,0,0,0,0,0,,
154,-0.846999998,0,0,0,0,0,0,,
155,-0.845999998,0,0,0,0,0,0,,
156,-0.844999998,0,0,0,0,0,0,,
157,-0.843999998,0,0,0,0,0,0,,
158,-0.842999998,0,0,0,0,0,0,,
159,-0.841999998,0,0,0,0,0,0,,
160,-0.840999998,0,0,0,0,0,0,,
161,-0.839999998,0,0,0,0,0,0,,
162,-0.838999998,0,0,0,0,0,0,,
163,-0.837999998,0,0,0,0,0,0,,
164,-0.836999998,0,0,0,0,0,0,,
165,-0.835999998,0,0,0,0,0,0,,
166,-0.834999998,0,0,0,0,0,0,,
167,-0.833999998,0,0,0,0,0,0,,
168,-0.832999998,0,0,0,0,0,0,,
169,-0.831999998,0,0,0,0,0,0,,
170,-0.830999998,0,0,0,0,0,0,,
171,-0.829999998,0,0,0,0,0,0,,
172,-0.828999998,0,0,0,0,0,0,,
173,-0.827999998,0,0,0,0,0,0,,
174,-0.826999998,0,0,0,0,0,0,,
175,-0.825999998,0,0,0,0,0,0,,
176,-0.824999998,0,0,0,0,0,0,,
177,-0.823999998,0,0,0,0,0,0,,
178,-0.822999998,0,0,0,0,0,0,,
179,-0.821999998,0,0,0,0,0,0,,
180,-0.820999998,0,0,0,0,0,0,,
181,-0.819999998,0,0,0,0,0,0,,
182,-0.818999998,0,0,0,0,0,0,,
183,-0.817999998,0,0,0,0,0,0,,
184,-0.816999998,0,0,0,0,0,0,,
185,-0.815999998,0,0,0,0,0,0,,
186,-0.814999998,0,0,0,0,0,0,,
187,-0.813999998,0,0,0,0,0,0,,
188,-0.812999998,0,0,0,0,0,0,,
189,-0.811999998,0,0,0,0,0,0,,
190,-0.810999998,0,0,0,0,0,0,,
191,-0.809999998,0,0,0,0,0,0,,
192,-0.808999998,0,0,0,0,0,0,,
193,-0.807999998,0,0,0,0,0,0,,
194,-0.806999998,0,0,0,0,0,0,,
195,-0.805999998,0,0,0,0,0,0,,
196,-0.804999998,0,0,0,0,0,0,,
197,-0.803999998,0,0,0,0,0,0,,
198,-0.802999998,0,0,0,0,0,0,,
199,-0.801999998,0,0,0,0,0,0,,
200,-0.800999998,0,0,0,0,0,0,,
201,-0.799999998,1,0,0,0,0,0,,
202,-0.798999998,1,0,0,0,0,0,,
203,-0.797999998,1,0,0,0,0,0,,
204,-0.796999998,1,0,0,0,0,0,,
205,-0.795999998,1,1,0,0,0,0,,
206,-0.794999998,1,1,0,0,0,0,,
207,-0.793999998,1,1,0,0,0,0,,
208,-0.792999998,1,1,0,0,0,0,,
209,-0.791999998,1,1,0,0,0,0,,
210,-0.790999998,1,1,0,0,0,0,,
211,-0.789999998,1,1,0,0,0,0,,
212,-0.788999998,0,1,0,0,0,0,,
213,-0.787999998,0,1,0,0,0,0,,
214,-0.786999998,0,1,0,0,0,0,,
215,-0.785999998,0,0,0,0,0,0,,
216,-0.784999998,0,0,0,0,0,0,,
217,-0.783999998,0,0,0,0,0,0,,
218,-0.782999998,0,0,0,0,0,0,,
219,-0.781999998,0,0,0,0,0,0,,
220,-0.780999998,0,0,0,0,0,0,,
221,-0.779999998,0,0,0,0,0,0,,
222,-0.778999998,0,0,0,0,0,0,,
223,-0.777999998,0,0,0,1,0,0,,
224,-0.776999998,0,0,0,1,0,0,,
225,-0.775999998,0,0,0,1,0,1,,
226,-0.774999998,0,0,0,1,0,1,,
227,-0.773999998,0,0,0,0,0,1,,
228,-0.772999998,0,0,1,0,0,1,,
229,-0.771999998,0,0,1,0,0,1,,
230,-0.770999998,0,0,1,0,1,1,,
231,-0.769999998,0,0,1,0,1,0,,
232,-0.768999998,0,0,0,0,1,0,,
233,-0.767999998,0,0,0,0,0,0,,
234,-0.766999998,0,0,0,0,0,0,,
235,-0.765999998,0,0,0,0,0,0,,
236,-0.764999998,0,0,0,0,0,0,,
237,-0.763999998,0,0,0,0,0,0,,
238,-0.762999998,0,0,0,0,0,0,,
239,-0.761999998,0,0,0,0,0,0,,
240,-0.760999998,0,0,0,0,0,0,,
241,-0.759999998,0,0,0,0,0,0,,
242,-0.758999998,0,0,0,0,0,0,,
243,-0.757999998,0,0,0,0,0,0,,
244,-0.756999998,0,0,0,0,0,0,,
245,-0.755999998,0,0,0,0,0,0,,
246,-0.754999998,0,0,0,0,0,0,,
247,-0.753999998,0,0,0,0,0,0,,
248,-0.752999998,0,0,0,0,0,0,,
249,-0.751999998,0,0,0,0,0,0,,
250,-0.750999998,0,0,0,0,0,0,,
251,-0.749999998,0,0,0,0,0,0,,
252,-0.748999998,0,0,0,0,0,0,,
253,-0.747999998,0,0,0,0,0,0,,
254,-0.746999998,0,0,0,0,0,0,,
255,-0.745999998,0,0,0,0,0,0,,
256,-0.744999998,0,0,0,0,0,0,,
257,-0.743999998,0,0,0,0,0,0,,
258,-0.742999998,0,0,0,0,0,0,,
259,-0.741999998,0,0,0,0,0,0,,
260,-0.740999998,0,0,0,0,0,0,,
261,-0.739999998,0,0,0,0,0,0,,
262,-0.738999998,0,0,0,0,0,0,,
263,-0.737999998,0,0,0,0,0,0,,
264,-0.736999998,0,0,0,0,0,0,,
265,-0.735999998,0,0,0,0,0,0,,
266,-0.734999998,0,0,0,0,0,0,,
267,-0.733999998,0,0,0,0,0,0,,
268,-0.732999998,0,0,0,0,0,0,,
269,-0.731999998,0,0,0,0,0,0,,
270,-0.730999998,0,0,0,0,0,0,,
271,-0.729999998,0,0,0,0,0,0,,
272,-0.728999998,0,0,0,0,0,0,,
273,-0.727999998,0,0,0,0,0,0,,
274,-0.726999998,0,0,0,0,0,0,,
275,-0.725999998,0,0,0,0,0,0,,
276,-0.724999998,0,0,0,0,0,0,,
277,-0.723999998,0,0,0,0,0,0,,
